customer	LG	location	line	shortcut	samplingtime	timerange
CCEP	2	Genshagen	G2	GEN	90	45
CCEP	2	Genshagen	G3	GEN	90	45
CCEP	2	Genshagen	G6	GEN	90	45
CCEP	2	Karlsruhe	BCANKD	KAR	90	45
MEG	2	Woerth	A3	WOE		
MEG	2	Woerth	A5	WOE		
MEG	2	Woerth	A6	WOE		
MEG	SG	Loeningen	SG	LOE		
MEG	2	Loeningen	LG_LOE	LOE		
MEG	2	Kirkel	A4	KIR		
CCEP	3	Dorsten	DS	DOR	180	45
CCEP	3	Dorsten	DC	DOR	180	45
CCEP	3	Moenchengladbach	G9	MOG	60	45
CCEP	3	Mannheim	MY	MAN	0	45
Pepsi	1	Nieder_Roden	LG	NIR		
CapriSun	SG	Eppelheim	TS1	EPP		
CapriSun	SG	Eppelheim	TS2	EPP		
CapriSun	SG	Eppelheim	TS3	EPP		
CapriSun	SG	Eppelheim	TS4	EPP		
CapriSun	SG	Eppelheim	SG500FS	EPP		
