customer	location	LG	line	beverage	ID	ID2	ID3
CCEP	Dorsten	3	DS	Bonaqua	16		
CCEP	Dorsten	3	DS	Cherry_Coke	6		
CCEP	Dorsten	3	DC	Cherry_Coke_Export	2		
CCEP	Dorsten	3	DC	Cherry_Coke_Zero	3		
CCEP	Dorsten	3	DC	CIP	999		
CCEP	Dorsten	3	DC	Coca_Cola	11		
CCEP	Dorsten	3	DS	Coca_Cola	2		
CCEP	Dorsten	3	DC	Coke_Light	5		
CCEP	Dorsten	3	DS	Coke_Light	3		
CCEP	Dorsten	3	DC	Coke_Light_Export	4		
CCEP	Dorsten	3	DS	Coke_Light_Koffeinfrei	4		
CCEP	Dorsten	3	DS	Coke_Vanilla	8		
CCEP	Dorsten	3	DC	Coke_Zero	7		
CCEP	Dorsten	3	DS	Coke_Zero	7		
CCEP	Dorsten	3	DC	Coke_Zero_Export	6		
CCEP	Dorsten	3	DS	Coke_Zero_Koffeinfrei	18		
CCEP	Dorsten	3	DC	Coke_Zero_Lemon_Export	8		
CCEP	Dorsten	3	DC	Fanta_Orange	10		
CCEP	Dorsten	3	DS	Fanta_Orange	9		
CCEP	Dorsten	3	DC	Fanta_Orange_Export	9		
CCEP	Dorsten	3	DC	Fanta_Pfirsich_Aprikose_Export	12		
CCEP	Dorsten	3	DS	Fanta_Zero	10		
CCEP	Dorsten	3	DC	Fanta_Zero_Export	15		
CCEP	Dorsten	3	DC	Mezzo_Mix	13		
CCEP	Dorsten	3	DS	Mezzo_Mix	14		
CCEP	Dorsten	3	DC	Sprite	14		
CCEP	Dorsten	3	DS	Sprite	22		
CCEP	Genshagen	2		Cherry_Coke	12		
CCEP	Genshagen	2		Cip	15		
CCEP	Genshagen	2		Coca_Cola	1		
CCEP	Genshagen	2		Coca_Cola_Light	3		
CCEP	Genshagen	2		Coke_Light_Lemon	14		
CCEP	Genshagen	2		Coke_Vanilla	9		
CCEP	Genshagen	2		Coke_Zero	2		
CCEP	Genshagen	2		Fanta_Erd_/_Kiwi	10		
CCEP	Genshagen	2		Fanta_Limon_Zero	13		
CCEP	Genshagen	2		Fanta_Mandarine	11		
CCEP	Genshagen	2		Fanta_Mango	7		
CCEP	Genshagen	2		Fanta_Orange	4		
CCEP	Genshagen	2		Fanta_Zero	8		
CCEP	Genshagen	2		Mezzo_Mix	6		
CCEP	Genshagen	2		Mezzo_Mix_Zero	16		
CCEP	Genshagen	2		Sprite	5		
CCEP	Karlsruhe	2		Coca_Cola	2001		
CCEP	Karlsruhe	2		Coke_Light	2004		
CCEP	Karlsruhe	2		Coke_Zero	2002		
CCEP	Karlsruhe	2		Coke_Zero_Norwegen	2005		
CCEP	Karlsruhe	2		Fanta_Elderﬂower	2312		
CCEP	Karlsruhe	2		Fanta_Exotic_DK	2302		
CCEP	Karlsruhe	2		Fanta_Exotic_neu	2217		
CCEP	Karlsruhe	2		Fanta_Lemon_DK	2303		
CCEP	Karlsruhe	2		Fanta_Mango_Dragonfruit	2220		
CCEP	Karlsruhe	2		Fanta_Orange	2010		
CCEP	Karlsruhe	2		Fanta_Orange_DK	2300		
CCEP	Karlsruhe	2		Fanta_Orange_Zero_DK	2301		
CCEP	Karlsruhe	2		Fanta_Str._Kiwi_DK	2304		
CCEP	Karlsruhe	2		Fanta_Zero_Lemon	2212		
CCEP	Karlsruhe	2		Monster_Absolutly_Zero	2202		
CCEP	Karlsruhe	2		Monster_Assault	2201		
CCEP	Karlsruhe	2		Monster_Energy	2200		
CCEP	Karlsruhe	2		Monster_Energy_Norwegen	2309		
CCEP	Karlsruhe	2		Monster_Lewis_Hamilton	2209		
CCEP	Karlsruhe	2		Monster_Mango_Loco	2216		
CCEP	Karlsruhe	2		Monster_Mango_Loco_(Neue)	2308		
CCEP	Karlsruhe	2		Monster_Mixxed_Punch	2205		
CCEP	Karlsruhe	2		Monster_Monarch	2311		
CCEP	Karlsruhe	2		Monster_Paciﬁc_Punch	2206		
CCEP	Karlsruhe	2		Monster_Pipeline_Punch	2219		
CCEP	Karlsruhe	2		Monster_Rehab_Green	2208		
CCEP	Karlsruhe	2		Monster_Rehab_Peach	2014		
CCEP	Karlsruhe	2		Monster_Rehab_Peach	2214		
CCEP	Karlsruhe	2		Monster_Rehab_Yellow	2207		
CCEP	Karlsruhe	2		Monster_Rossi	2204		
CCEP	Karlsruhe	2		Monster_Ultra_Citron	2213		
CCEP	Karlsruhe	2		Monster_Ultra_Fiesta	2310		
CCEP	Karlsruhe	2		Monster_Ultra_Paradise	2211		
CCEP	Karlsruhe	2		Monster_Ultra_Red	2215		
CCEP	Karlsruhe	2		Monster_Ultra_Violet	2218		
CCEP	Karlsruhe	2		Monster_Ultra_White	2210		
CCEP	Karlsruhe	2		Product_2299	2299		
MEG	Kirkel	2		Cola	5		
MEG	Kirkel	2		Cola_FR	72		
MEG	Kirkel	2		Cola_light	3		
MEG	Kirkel	2		Cola_zero	19		
MEG	Kirkel	2		Lemon	7		
MEG	Kirkel	2		Lemon_FR	73		
MEG	Kirkel	2		Lemon_zero	20		
MEG	Kirkel	2		Lemon_zero_2020	NA		
MEG	Kirkel	2		Mixx_Max	14		
MEG	Kirkel	2		Mixx_Max_zero	24		
MEG	Kirkel	2		Orange_3p	6		
MEG	Kirkel	2		Orange_zero	23		
MEG	Loeningen	SG		Cola	NA		
MEG	Loeningen	SG		Cola_0p	NA		
MEG	Loeningen	SG		FW_Blutorange	NA		
MEG	Loeningen	SG		FW_Citronade	NA		
MEG	Loeningen	SG		FW_Cola	NA		
MEG	Loeningen	SG		FW_Cola_0p	NA		
MEG	Loeningen	SG		FW_Cola_light	NA		
MEG	Loeningen	SG		FW_Cola_ZR	NA		
MEG	Loeningen	SG		FW_Grapefruit_light	NA		
MEG	Loeningen	SG		FW_Grapefruit_light_FIN	NA		
MEG	Loeningen	SG		FW_Gruene_Brause	NA		
MEG	Loeningen	SG		FW_Himbeere	NA		
MEG	Loeningen	SG		FW_Lemon_ZR	NA		
MEG	Loeningen	SG		FW_Limette	NA		
MEG	Loeningen	SG		FW_MixxMax	NA		
MEG	Loeningen	SG		FW_Orange_0p_6p_Saft	NA		
MEG	Loeningen	SG		FW_Orange_3p	NA		
MEG	Loeningen	SG		FW_Orange_3p_Zero	NA		
MEG	Loeningen	SG		FW_Orange_6p	NA		
MEG	Loeningen	SG		FW_Orange_8p	NA		
MEG	Loeningen	SG		FW_Orange_8p_ZR	NA		
MEG	Loeningen	SG		FW_Orange_zero	NA		
MEG	Loeningen	SG		FW_Pink_Grapefruit_light	NA		
MEG	Loeningen	SG		FW_Pink_Lemon_Grapefruit	NA		
MEG	Loeningen	SG		FW_Rote_Brause	NA		
MEG	Loeningen	SG		FW_Zitrone_0p	NA		
MEG	Loeningen	SG		FW_Zitrone_Neu	NA		
MEG	Loeningen	SG		Himbeere	NA		
MEG	Loeningen	SG		KS_Energy_Light	NA		
MEG	Loeningen	SG		KS_Energy_Zero	NA		
MEG	Loeningen	SG		Limette	NA		
MEG	Loeningen	SG		Linessa_Grapefruit	NA		
MEG	Loeningen	SG		MixMaxx	NA		
MEG	Loeningen	SG		MixMaxx_0p	NA		
MEG	Loeningen	SG		Orange_3p_GS_Aenderung	NA		
MEG	Loeningen	SG		Orange_0p	NA		
MEG	Loeningen	SG		Orange_3p	NA		
